Country,CO2 Emissions (metric tons per capita)
Afghanistan,0.2
Armenia,2.1
Azerbaijan,3.5
Bahrain,20.3
Bangladesh,0.6
Bhutan,1.4
Cambodia,1
China,7.6
Cyprus,6
Georgia,2.7
India,1.8
Indonesia,2.3
Iran,7.6
Iraq,4.4
Israel,6.9
Japan,8.5
Jordan,2.4
Kazakhstan,11.5
Kuwait,22
Kyrgyzstan,1.6
Laos,2.6
Lebanon,4.1
Malaysia,7.9
Maldives,4
Mongolia,7.2
Myanmar,0.7
Nepal,0.5
North Korea,
Oman,15.3
Pakistan,0.9
Phillipines,1.3
Qatar,32.5
Saudi Arabia,15.3
Singapore,8.3
Syria,1.5
Tajikistan,1
Thailand,3.8
Timor-Leste,0.5
Turkey,4.8
Turkmenistan,12.3
United Arab Emirates,19.3
Uzbekistan,3.5
Vietnam,3.5
Yemen,0.4
