,"Analysis showing the count, employment and turnover (£'000s) of VAT and/or PAYE based enterprises exhibiting high growth in employment, turnover and both employment and turnover for Countries, Regions unitary and local authority districts of the United Kingdom ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Demography 2018,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Note: Count figures are control rounded to base five, so zeros may not necessarily be true zeroes. Where the count rounds to zero or data are deemed to be disclosive, any auxiliary variable i.e. employment or turnover  will be removed (..C). Where we remove a figure in a row or column, we must remove another in the same row and column to avoid disclosure by deduction, even in cases where the count may be large.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Employment 20% growth,,,Turnover 20% growth,,,Both employment and turnover 20% growth,,,,,,,,,,,,,,,,,,,
,Count,Employment,Turnover (£'000s),Count,Employment,Turnover (£'000s),Count,Employment,Turnover (£'000s),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001: United Kingdom,"13,965","1,902,759","293,802,846","27,285","2,616,664","917,692,820","7,390","1,017,368","195,058,271",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
K03000001: Great Britain,"13,645","1,869,742","289,407,153","26,610","2,573,745","909,874,143","7,230","1,000,757","192,877,825",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
K04000001: England & Wales,"12,740","1,788,242","278,506,021","24,890","2,394,817","831,871,817","6,795","959,984","185,757,029",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001 : England,"12,225","1,739,473","272,222,053","23,950","2,318,274","814,547,145","6,540","931,504","182,754,224",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001 : North East,405,"45,969","4,094,671",760,"50,052","6,401,980",210,"18,481","2,254,697",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000047 : County Durham,65,"6,529","575,270",145,"8,237","1,138,814",30,"2,670","279,441",,,,,,,,,,,,,,,,,
E06000005 : Darlington,15,"1,159","73,886",30,"1,606","189,328",10,641,"41,004",,,,,,,,,,,,,,,,,
E06000001 : Hartlepool,10,520,"169,900",20,"1,495","226,645",5,326,..C,,,,,,,,,,,,,,,,,
E06000002 : Middlesbrough,15,"3,146","327,468",35,"4,315","533,954",10,"2,778","305,925",,,,,,,,,,,,,,,,,
E06000057 : Northumberland,55,"3,934","487,179",90,"3,423","418,401",35,"1,766","179,362",,,,,,,,,,,,,,,,,
E06000003 : Redcar and Cleveland,20,"1,904","93,910",35,"1,842","347,642",5,335,..C,,,,,,,,,,,,,,,,,
E06000004 : Stockton-on-Tees,25,"1,214","102,270",60,"3,607","697,253",10,583,"49,226",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
