Date,GRA Purchases,PRGT 1/2/,Totals,Year,Total_billion
08/31/2022,93769635059,15254184552,109023819611,2022,495.5628164
12/31/2021,89474552025,14554823681,104029375706,2021,472.8607987
12/31/2020,93408630285,12481816684,105890446969,2020,481.3202135
12/31/2019,66945509865,6590835450,73536345315,2019,334.2561151
12/31/2018,55395611392,6426181029,61821792421,2018,281.0081474
12/31/2017,39585385873,6522280669,46107666542,2017,209.5803025
12/31/2016,49267630851,6482647937,55750278788,2016,253.4103581
12/31/2015,50757840741,6575911158,57333751899,2015,260.6079632
12/31/2014,69041563463,6292755583,75334319046,2014,342.4287229
12/31/2013,83899249061,6174392682,90073641743,2013,409.4256443
12/31/2012,90042348252,5766292503,95808640755,2012,435.4938216
12/31/2011,87276915790,5308609594,92585525384,2011,420.8432972
12/31/2010,55620104510,4819344134,60439448644,2010,274.7247666
12/31/2009,37221142436,5079705286,42300847722,2009,192.2765806
12/31/2008,17514964723,3972372030,21487336753,2008,97.66971251
12/31/2007,6036146757,3796945581,9833092338,2007,44.69587426
12/31/2006,9822640239,3844020520,13666660759,2006,62.12118527
12/31/2005,28432143237,6282121668,34714264905,2005,157.7921132
12/31/2004,55373766674,6766029353,62139796027,2004,282.4536183
12/31/2003,65032062712,6880893268,71912955980,2003,326.8770726
12/31/2002,63601058794,6868671012,70469729806,2002,320.3169537
12/31/2001,53477225409,6424578684,59901804093,2001,272.2809277
12/31/2000,42990531049,6331595468,49322126517,2000,224.1914842
12/31/1999,51061861875,6434274362,57496136237,1999,261.3460738
12/31/1998,60451017051,6288825925,66739842976,1998,303.3629226
12/31/1997,46559033783,6009867422,52568901205,1997,238.9495509
12/31/1996,36127472805,5881609752,42009082557,1996,190.9503753
12/31/1995,35929173412,5657438528,41586611940,1995,189.0300543
12/31/1994,25611676952,4599768498,30211445450,1994,137.324752
12/31/1993,25196745031,3942792899,29139537930,1993,132.4524451
12/31/1992,23967172718,3804463796,27771636514,1992,126.2347114
12/31/1991,23378573926,3285717796,26664291722,1991,121.201326
12/31/1990,20731851093,2571911617,23303762710,1990,105.9261941
12/31/1989,22315104224,2334886562,24649990786,1989,112.0454127
12/31/1988,24750004884,1773964293,26523969177,1988,120.5634963
12/31/1987,28751979125,1866342930,30618322055,1987,139.1741912
12/31/1986,33334905644,2013169931,35348075575,1986,160.6730708
12/31/1985,35194787249,2470247948,37665035197,1985,171.2047054
12/31/1984,34936772393,2769874900,37706647293,1984,171.3938513
