Company,Funding,Employee Growth,,
Fireblocks,1000000000,254,,
FalconX,477000000,195,,
GrubMarket,382100000,55,,
Jeeves,368000000,610,,
Blockdaemon,431000000,307,,
,,,,
AtoB,257000000,912,,
Alchemy,564000000,174,,
Oyster,224000000,529,,
Zip,81000000,671,,
dbt Labs,414400000,152,,
FreightWaves,92400000,22,,
,,,,
Reify Health,479600000,126,,
Unit,170000000,470,,
Salt Security,271000000,149,,
Payhawk,239100000,321,,
Deliverr,490900000,76,,
ICON,450000000,230,,
Aurora Solar,523500000,84,,
Abnormal Security,284000000,151,,
Shares,90000000,890,,
CoinTracker,101600000,383,,
Axonius,665000000,141,,
Annova Solutions,1000000,974,,
Ontop,26000000,885,,
Cribl,402200000,207,,
Esusu,145000000,176,,
Crusoe Energy Systems,747500000,116,,
Yummy,84000000,944,,
MoonPay,642000000,225,,
Weee!,862800000,70,,
Panther,140500000,348,,
Multiplier,77000000,584,,
Drata,128200000,340,,
Petal,704600000,45,,
Island,100000000,323,,
Dremio,410000000,70,,
Ironclad,334000000,72,,
JumpCloud,416700000,82,,
Labelbox,188900000,46,,
RapidRatings,245000000,17,,
Pave,63000000,270,,
Lessen,205000000,336,,
Chainalysis,536600000,132,,
Sentry,127000000,58,,
Shield AI,348100000,56,,
Zilch,339300000,100,,
Productboard,261700000,91,,
Flutterwave,474500000,25,,
Devo,481000000,48,,
Tarana Wireless,206100000,42,,
Arcadia,370500000,106,,
Taskmo,5000000,839,,
Cortex by Palo Alto Networks,65000000,12,,
Lightstone,644000000,10,,
Immuta,158200000,40,,
Wasabi Technologies,286200000,63,,
Hugging Face,60200000,152,,
Persefoni,114200000,502,,
Thought Machine,562800000,6,,
Springpod,4000000,940,,
Aiven,420000000,115,,
LinkSquares,61500000,178,,
Webflow,214900000,53,,
Monte Carlo,101000000,194,,
AgentSync,111100000,219,,
Juni,75900000,812,,
Anchorage,487000000,139,,
Branch,609100000,210,,
CAIS,406000000,65,,
Coalition,770000000,84,,
Ava Labs,230000000,62,,
CaptivateIQ,164600000,143,,
Animoca Brands,675300000,128,,
Figment,165000000,382,,
Clarify Health Solutions,178000000,92,,
,,,,
Inxeption,336500000,8,,
Notion,343200000,265,,
SiFive,365500000,4,,
Jar,36500000,445,,
Bank Novo,46000000,145,,
Dapper Labs,607500000,138,,
RapidAPI,122500000,57,,
OpenSpace,88500000,112,,
Lev,147000000,254,,
Autograph,13300000,309,,
Salsify,452600000,30,,
Modern Treasury,133000000,322,,
Docker,435900000,65,,
Titan Invest,73000000,247,,
Loadsmart,346400000,62,,
Polygon,452000000,225,,
Epic! Kids,51500000,17,,
JupiterOne,49000000,134,,
Envoy,170200000,57,,
Ethos Life,406500000,115,,
StarkWare,173000000,86,,
Nuvocargo,37800000,227,,
Paradox,253300000,83,,
Cart.com,383000000,239,,
Timescale,181100000,125,,
Lukka,201300000,67,,
Uni Cards,95000000,719,,
Density,217200000,69,,
MX.com,450000000,728,,
5ire,221000000,500,,
Material Bank,323200000,56,,
Kiniksa Pharmaceuticals,400000000,684,,
Viz.ai,151600000,81,,
Payhawk,239100000,354,,
Vouch Insurance,184200000,99,,
Uniphore,620900000,75,,
Wayflyer,636200000,276,,
Tackle.io,148300000,147,,
Capitolis,171800000,32,,
SparkCognition,286600000,56,,
,,,,
Apollo,183200000,115,,
Beta Technologies,886000000,53,,
Vendr,132000000,70,,
,,,,
TaxBit,235800000,283,,
Liquid Death Mountain Water,130600000,82,,
Glean,155000000,268,,
Whatnot,484700000,245,,
StartEngine,87600000,20,,
Stytch,126300000,192,,
BlueVoyant,525500000,56,,
Immutable,277000000,213,,
Vanta,53000000,199,,
MoEngage,133000000,90,,
Mythical Games,260000000,150,,
Glia,107000000,55,,
Netlify,202100000,65,,
Genies,52000000,72,,
Transcarent,298000000,95,,
Installed Building Products,250000000,3,,
Hydrow,110800000,33,,
LanzaTech,310400000,42,,
LineVision,16800000,656,,
Anduril,691000000,58,,
HomeLight,742500000,44,,
ZenBusiness,274500000,106,,
Airbyte,181200000,283,,
Kindbody,125300000,92,,
Vercel,313000000,334,,
Harness,425000000,65,,
SonarSource,457000000,43,,
Noname Security,220000000,214,,
Perimeter 81,65000000,61,,
Clara,239800000,426,,
selfbook.com,43000000,190,,
Anyscale,160000000,104,,
Tripledot Studios,202000000,90,,
Moss,150200000,421,,
Exotec,449600000,53,,
Fabric,293500000,97,,
Epirus,287400000,78,,
Imply,215300000,48,,
Turntide Technologies,491500000,50,,
Cloudinary,100000000,50,,
1111 SYSTEMS,586000000,468,,
,,,,
GO1,283700000,72,,
Treez,28000000,95,,
Starburst,414000000,44,,
Cresta,71000000,130,,
SingleStore,434100000,39,,
Talkiatry,37000000,402,,
Calibrate,127600000,473,,
Electric AI,208800000,67,,
Forte,910000000,140,,
Real,16000000,481,,
TRM Labs,79900000,250,,
MPOWER Financing,375000000,51,,
Squire,167100000,44,,
Binance.US,200000000,81,,
Yugabyte,291000000,265,,
Capchase,949600000,129,,
Hightouch,54200000,182,,
Veho,299200000,173,,
Workhorse Group,347600000,24,,
FLEXE,144000000,72,,
Replicant,35000000,60,,
Monroe Capital,34000000,21,,
Brightline,50000000,236,,
CoinDCX,109000000,192,,
Bolt,963100000,154,,
Paddle,93300000,93,,
Wahed,40000000,28,,
Fundbox,553500000,33,,
Acorns,507000000,25,,
Iterative Scopes,193600000,283,,
