Company,Funding,Employee Growth,,
Axie Infinity,9000000,262,,
Levels,12000000,121,,
Empowerly,12000000,136,,
Origin,12300000,135,,
Gem,12500000,123,,
Bikayi.com,12800000,462,,
Autograph,13300000,309,,
Keyway,15000000,205,,
Real,16000000,481,,
ChargeAfter,17000000,130,,
Curebase,17600000,283,,
Edge Delta,18000000,275,,
Assembled,19700000,173,,
Narmi,20500000,131,,
Coin Metrics,22900000,126,,
Palm NFT Studio,27000000,439,,
WorkRamp,27200000,148,,
Yokoy,27800000,418,,
SIMBA Chain,28500000,142,,
Orum,29000000,265,,
QuotaPath,29800000,167,,
Abacum,32000000,218,,
Afresh,32800000,166,,
SuccessKPI,33000000,431,,
Jar,36500000,445,,
Talkiatry,37000000,402,,
Nuvocargo,37800000,227,,
Horizon3.ai,38500000,293,,
Greenwood,43000000,154,,
selfbook.com,43000000,190,,
FingerprintJS,44000000,147,,
CoreStack,45700000,102,,
Bank Novo,46000000,145,,
JupiterOne,49000000,134,,
Brightline,50000000,236,,
Justt,50000000,419,,
Nayya,50700000,141,,
Logixboard,50800000,181,,
Metafy,51600000,197,,
Vanta,53000000,199,,
Xwing,54000000,158,,
ChartHop,54000000,203,,
Hightouch,54200000,182,,
Cohere,56100000,197,,
AcreTrader,57000000,167,,
Hugging Face,60200000,152,,
Spekit,60600000,175,,
LinkSquares,61500000,178,,
Pave,63000000,270,,
Mesh Payments,63000000,278,,
Axelar Network,63800000,155,,
StudySmarter,64200000,500,,
Torii,65000000,176,,
Tropic,67100000,306,,
Spotter,67900000,250,,
Qualified,68000000,221,,
Prime Trust,69000000,101,,
Cresta,71000000,130,,
Databook,71000000,193,,
Apex.AI,72000000,100,,
Titan Invest,73000000,247,,
Pair Eyewear,73500000,103,,
Hungryroot,75400000,102,,
Hungryroot,75400000,103,,
strongDM,76100000,184,,
Overjet,77400000,218,,
Leap Finance,77500000,223,,
Measurabl,79600000,132,,
TRM Labs,79900000,250,,
Census,80300000,297,,
Fuzzy - The Pet Parent Company,80500000,131,,
Hotel Engine,81000000,138,,
EquityBee,85300000,112,,
Malta,86900000,230,,
OpenSpace,88500000,112,,
Airbase,90500000,124,,
Alma,90500000,135,,
Karbon,91800000,154,,
Cover Genius,95100000,108,,
Till Payments,95600000,295,,
Retool,96000000,128,,
PLACE,100000000,121,,
Gala Games,100000000,309,,
Island,100000000,323,,
Monte Carlo,101000000,194,,
CoinTracker,101600000,383,,
Reibus International,101700000,185,,
Emilio Health,104000000,235,,
CoinDCX,109000000,192,,
ZeroAvia,110000000,120,,
Masterworks.io,110000000,160,,
Mamaearth,110800000,129,,
AgentSync,111100000,219,,
Athletic Greens,115000000,125,,
Lithic,115400000,129,,
Captain Fresh,119000000,342,,
SURE Insurance,123100000,103,,
Stytch,126300000,192,,
Calibrate,127600000,473,,
Drata,128200000,340,,
Emergy Foods,128400000,279,,
Humane,130000000,161,,
Wrapbook,130600000,225,,
Modern Treasury,133000000,322,,
Workit Health,138000000,127,,
Panther,140500000,348,,
CloudTrucks,141600000,200,,
Tribal Credit,143400000,292,,
Esusu,145000000,176,,
Lev,147000000,254,,
Tackle.io,148300000,147,,
Atmosphere.tv,148700000,144,,
Lancium,150000000,296,,
Athelas,150100000,129,,
Moss,150200000,421,,
Tezign,151100000,150,,
Untether AI,152000000,121,,
Mercury - Banking for Startups,152200000,132,,
Einride,152300000,147,,
Glean,155000000,268,,
Connecteam,158000000,217,,
Anyscale,160000000,104,,
Lattice,160500000,122,,
RenoRun,163700000,176,,
CaptivateIQ,164600000,143,,
Figment,165000000,382,,
Linktree,165700000,173,,
Primer,168000000,191,,
TRADE X,169400000,154,,
Zero Hash,169900000,312,,
Unit,170000000,470,,
Level Home,171000000,146,,
solo.io,171500000,110,,
Lilac Solutions,173600000,113,,
Optimism,178500000,138,,
Timescale,181100000,125,,
Airbyte,181200000,283,,
CHEQ,182000000,100,,
Apollo,183200000,115,,
FLYR,187300000,137,,
Kandji,188400000,164,,
Iterative Scopes,193600000,283,,
Rho Business Banking,194900000,290,,
IRL - Do More Together,197000000,126,,
Flipos,200000000,371,,
Amylyx Pharmaceuticals,202200000,322,,
Betterfly,202500000,289,,
Lessen,205000000,336,,
Vendr,216000000,162,,
Persona Identities,217500000,141,,
Noname Security,220000000,214,,
5ire,221000000,500,,
CredAvenue,226700000,222,,
