Local Authority District,20% Employment Growth,20% Turnover Growth,20% Employment and Turnover Growth
County Durham,65,145,30
Darlington,15,30,10
Hartlepool,10,20,5
Middlesbrough,15,35,10
Northumberland,55,90,35
Redcar and Cleveland,20,35,5
Stockton-on-Tees,25,60,10
Tyne and Wear (Met County),200,345,105
   Gateshead,40,75,20
   Newcastle upon Tyne,75,125,40
   North Tyneside,35,45,20
   South Tyneside,15,25,5
   Sunderland,35,75,20
North West,"1,445","2,765",785
Blackburn with Darwen,30,50,15
Blackpool,20,40,10
Cheshire East,115,230,75
Cheshire West and Chester,75,150,35
Halton,25,50,15
Warrington,50,80,20
Cumbria,80,175,35
Allerdale,20,25,10
Barrow-in-Furness,5,15,0
Carlisle,20,45,10
Copeland,5,10,0
Eden,10,20,5
South Lakeland,20,60,10
Greater Manchester (Met County),600,"1,105",330
Bolton,60,105,35
Bury,30,65,20
Manchester,170,300,95
Oldham,30,70,15
Rochdale,30,65,15
Salford,65,130,45
Stockport,60,115,30
Tameside,35,45,15
Trafford,70,120,35
Wigan,50,90,25
Lancashire,250,470,130
Burnley,20,35,10
Chorley,25,55,10
Fylde,15,40,10
Hyndburn,20,30,10
Lancaster,25,40,15
Pendle,20,30,10
Preston,30,70,15
Ribble Valley,15,25,5
Rossendale,10,25,5
South Ribble,30,45,15
West Lancashire,25,50,15
Wyre,15,25,10
Merseyside (Met County),200,415,120
Knowsley,20,40,15
Liverpool,85,175,50
Sefton,30,70,20
St. Helens,25,60,15
Wirral,40,70,20
Yorkshire and The Humber,"1,025","2,040",545
East Riding of Yorkshire,55,120,30
Kingston upon Hull City of,35,100,15
North East Lincolnshire,30,50,20
North Lincolnshire,25,50,10
York,40,75,20
North Yorkshire,150,275,80
Craven,20,30,15
Hambleton,20,35,10
Harrogate,50,90,30
Richmondshire,15,25,5
Ryedale,15,25,5
Scarborough,20,35,10
Selby,10,35,5
South Yorkshire (Met County),215,475,120
Barnsley,30,80,15
Doncaster,40,95,20
Rotherham,45,90,25
Sheffield,100,210,60
West Yorkshire (Met County),475,895,250
Bradford,80,175,45
Calderdale,25,65,10
Kirklees,85,160,50
Leeds,225,375,115
Wakefield,60,120,30
East Midlands,915,"1,755",475
Derby,45,95,25
Leicester,70,150,40
Nottingham,65,140,35
Rutland,5,20,0
Derbyshire,130,265,55
Amber Valley,20,50,10
Bolsover,10,30,5
Chesterfield,15,35,5
Derbyshire Dales,20,30,5
Erewash,15,45,10
High Peak,15,20,5
North East Derbyshire,20,30,5
South Derbyshire,15,25,10
Leicestershire,150,280,80
Blaby,20,45,15
Charnwood,35,65,20
Harborough,30,45,15
Hinckley and Bosworth,20,35,10
Melton,10,20,0
North West Leicestershire,30,55,20
Oadby and Wigston,5,15,0
Lincolnshire,115,245,55
Boston,10,25,10
East Lindsey,20,40,5
Lincoln,15,35,5
North Kesteven,20,40,15
South Holland,10,30,5
South Kesteven,25,50,10
West Lindsey,15,25,5
Northamptonshire,180,320,105
Corby,25,45,20
Daventry,25,35,15
East Northamptonshire,10,25,5
Kettering,15,35,5
Northampton,60,95,35
South Northamptonshire,30,50,15
Wellingborough,15,35,10
Nottinghamshire,155,240,80
Ashfield,25,25,15
Bassetlaw,25,40,10
Broxtowe,20,35,10
Gedling,15,25,10
Mansfield,15,25,5
Newark and Sherwood,25,50,15
Rushcliffe,30,40,15
West Midlands,"1,045","2,060",530
Herefordshire County of,40,85,20
Shropshire,65,130,30
Stoke-on-Trent,40,85,15
Telford and Wrekin,30,65,15
Staffordshire,165,305,95
Cannock Chase,10,30,5
East Staffordshire,25,40,15
Lichfield,30,55,25
Newcastle-under-Lyme,15,35,10
South Staffordshire,20,35,10
Stafford,30,50,15
Staffordshire Moorlands,15,25,5
Tamworth,20,35,10
Warwickshire,130,255,60
North Warwickshire,20,40,10
Nuneaton and Bedworth,25,45,5
Rugby,15,25,5
Stratford-on-Avon,45,70,25
Warwick,25,75,15
West Midlands (Met County),455,870,235
Birmingham,175,380,100
Coventry,50,85,30
Dudley,55,80,25
Sandwell,35,90,15
Solihull,55,80,25
Walsall,40,75,20
Wolverhampton,45,80,20
Worcestershire,120,265,60
Bromsgrove,25,50,10
Malvern Hills,15,40,10
Redditch,20,30,5
Worcester,25,50,15
Wychavon,25,65,15
Wyre Forest,10,30,5
East,"1,320","2,460",695
Bedford,40,60,25
Central Bedfordshire,45,80,15
Luton,25,50,10
Peterborough,55,75,30
Southend-on-Sea,20,65,15
Thurrock,30,45,15
Cambridgeshire,185,340,100
Cambridge,45,75,20
East Cambridgeshire,20,40,10
Fenland,15,30,10
Huntingdonshire,45,80,30
South Cambridgeshire,60,115,30
Essex,310,605,160
Basildon,25,85,15
Braintree,30,65,15
Brentwood,10,40,10
Castle Point,10,20,0
Chelmsford,35,60,15
Colchester,45,75,25
Epping Forest,40,60,20
Harlow,20,30,10
Maldon,15,30,10
Rochford,20,30,10
Tendring,25,45,15
Uttlesford,35,65,15
Hertfordshire,280,550,165
Broxbourne,20,30,5
Dacorum,30,50,15
East Hertfordshire,40,65,20
Hertsmere,40,75,25
North Hertfordshire,35,65,20
St Albans,45,85,30
Stevenage,15,30,10
Three Rivers,15,45,10
Watford,15,55,15
Welwyn Hatfield,25,50,15
Norfolk,180,310,90
Breckland,35,50,20
Broadland,20,45,10
Great Yarmouth,10,25,5
King's Lynn and West Norfolk,30,45,10
North Norfolk,20,30,10
