Local Authority District,Employment,Turnover,Employment and Turnover
County Durham,0.441426146,0.984719864,0.203735144
Darlington,0.430416069,0.860832138,0.286944046
Hartlepool,0.45045045,0.900900901,0.225225225
Middlesbrough,0.433526012,1.011560694,0.289017341
Northumberland,0.478885503,0.783630823,0.30474532
Redcar and Cleveland,0.634920635,1.111111111,0.158730159
Stockton-on-Tees,0.445235975,1.06856634,0.17809439
Tyne and Wear (Met County),0.686577412,1.184346035,0.360453141
   Gateshead,0.713012478,1.336898396,0.356506239
   Newcastle upon Tyne,0.867553499,1.445922499,0.4626952
   North Tyneside,0.652985075,0.839552239,0.373134328
   South Tyneside,0.443131462,0.738552437,0.147710487
   Sunderland,0.57096248,1.223491028,0.326264274
North West,0.532895707,1.01969317,0.289496976
Blackburn with Darwen,0.526315789,0.877192982,0.263157895
Blackpool,0.516795866,1.033591731,0.258397933
Cheshire East,0.588536336,1.177072671,0.383828045
Cheshire West and Chester,0.54328142,1.08656284,0.253531329
Halton,0.684931507,1.369863014,0.410958904
Warrington,0.576036866,0.921658986,0.230414747
Cumbria,0.346245401,0.757411816,0.151482363
Allerdale,0.480769231,0.600961538,0.240384615
Barrow-in-Furness,0.3003003,0.900900901,0
Carlisle,0.386100386,0.868725869,0.193050193
Copeland,0.24691358,0.49382716,0
Eden,0.271370421,0.542740841,0.13568521
South Lakeland,0.312989045,0.938967136,0.156494523
Greater Manchester (Met County),0.55941448,1.030255,0.307677964
Bolton,0.564440263,0.987770461,0.32925682
Bury,0.372208437,0.806451613,0.248138958
Manchester,0.726806327,1.282599401,0.406156477
Oldham,0.419287212,0.978336827,0.209643606
Rochdale,0.424929178,0.920679887,0.212464589
Salford,0.595783685,1.191567369,0.412465628
Stockport,0.486026731,0.931551235,0.243013366
Tameside,0.539291217,0.693374422,0.231124807
Trafford,0.5907173,1.012658228,0.29535865
Wigan,0.53390283,0.961025093,0.266951415
Lancashire,0.54836587,1.030927835,0.285150252
Burnley,0.753295669,1.31826742,0.376647834
Chorley,0.528541226,1.162790698,0.21141649
Fylde,0.45045045,1.201201201,0.3003003
Hyndburn,0.821355236,1.232032854,0.410677618
Lancaster,0.534188034,0.854700855,0.320512821
Pendle,0.633914422,0.950871632,0.316957211
Preston,0.524934383,1.224846894,0.262467192
Ribble Valley,0.417827298,0.69637883,0.139275766
Rossendale,0.377358491,0.943396226,0.188679245
South Ribble,0.739827374,1.10974106,0.369913687
West Lancashire,0.555555556,1.111111111,0.333333333
Wyre,0.366300366,0.610500611,0.244200244
Merseyside (Met County),0.500437883,1.038408608,0.30026273
Knowsley,0.583090379,1.166180758,0.437317784
Liverpool,0.577249576,1.188455008,0.339558574
Sefton,0.378071834,0.882167612,0.252047889
St. Helens,0.501504514,1.203610832,0.300902708
Wirral,0.449943757,0.787401575,0.224971879
Yorkshire and The Humber,0.530236408,1.055299778,0.281930578
East Riding of Yorkshire,0.388829975,0.84835631,0.212089077
Kingston upon Hull City of,0.514705882,1.470588235,0.220588235
North East Lincolnshire,0.625651721,1.042752868,0.417101147
North Lincolnshire,0.437445319,0.874890639,0.174978128
York,0.560616678,1.051156272,0.280308339
North Yorkshire,0.457317073,0.838414634,0.243902439
Craven,0.568990043,0.853485064,0.426742532
Hambleton,0.373831776,0.654205607,0.186915888
Harrogate,0.54200542,0.975609756,0.325203252
Richmondshire,0.53285968,0.888099467,0.177619893
Ryedale,0.4048583,0.674763833,0.134952767
Scarborough,0.466744457,0.8168028,0.233372229
Selby,0.256081946,0.896286812,0.128040973
South Yorkshire (Met County),0.520077407,1.149008224,0.290275762
Barnsley,0.436681223,1.164483261,0.218340611
Doncaster,0.40526849,0.962512665,0.202634245
Rotherham,0.5859375,1.171875,0.325520833
Sheffield,0.591016548,1.241134752,0.354609929
West Yorkshire (Met County),0.589476297,1.110697444,0.310250683
Bradford,0.481782596,1.053899428,0.27100271
Calderdale,0.296912114,0.771971496,0.118764846
Kirklees,0.553385417,1.041666667,0.325520833
Leeds,0.744786495,1.241310824,0.380668653
Wakefield,0.600901352,1.201802704,0.300450676
East Midlands,0.484037348,0.928399503,0.251276219
Derby,0.59602649,1.258278146,0.331125828
Leicester,0.479616307,1.027749229,0.274066461
Nottingham,0.675324675,1.454545455,0.363636364
Rutland,0.253164557,1.012658228,0
Derbyshire,0.42539267,0.867146597,0.179973822
Amber Valley,0.437636761,1.094091904,0.218818381
Bolsover,0.437636761,1.312910284,0.218818381
Chesterfield,0.447761194,1.044776119,0.149253731
Derbyshire Dales,0.431499461,0.647249191,0.107874865
Erewash,0.376884422,1.130653266,0.251256281
High Peak,0.379266751,0.505689001,0.12642225
North East Derbyshire,0.568990043,0.853485064,0.142247511
South Derbyshire,0.351288056,0.585480094,0.234192037
Leicestershire,0.498919009,0.931315483,0.266090138
Blaby,0.481927711,1.084337349,0.361445783
Charnwood,0.512445095,0.951683748,0.292825769
Harborough,0.560747664,0.841121495,0.280373832
Hinckley and Bosworth,0.43715847,0.765027322,0.218579235
Melton,0.395256917,0.790513834,0
North West Leicestershire,0.678733032,1.244343891,0.452488688
Oadby and Wigston,0.226244344,0.678733032,0
Lincolnshire,0.399305556,0.850694444,0.190972222
Boston,0.42462845,1.061571125,0.42462845
East Lindsey,0.363967243,0.727934486,0.090991811
Lincoln,0.555555556,1.296296296,0.185185185
North Kesteven,0.480769231,0.961538462,0.360576923
South Holland,0.247524752,0.742574257,0.123762376
South Kesteven,0.399042298,0.798084597,0.159616919
West Lindsey,0.396301189,0.660501982,0.132100396
Northamptonshire,#DIV/0!,#DIV/0!,#DIV/0!
Corby,#DIV/0!,#DIV/0!,#DIV/0!
Daventry,#DIV/0!,#DIV/0!,#DIV/0!
East Northamptonshire,#DIV/0!,#DIV/0!,#DIV/0!
Kettering,#DIV/0!,#DIV/0!,#DIV/0!
Northampton,#DIV/0!,#DIV/0!,#DIV/0!
South Northamptonshire,#DIV/0!,#DIV/0!,#DIV/0!
Wellingborough,#DIV/0!,#DIV/0!,#DIV/0!
