Local Authority District,Employment,Turnover,Employment and Turnover
County Durham,405,760,210
Darlington,405,760,210
Hartlepool,405,760,210
Middlesbrough,405,760,210
Northumberland,405,760,210
Redcar and Cleveland,405,760,210
Stockton-on-Tees,405,760,210
Tyne and Wear (Met County),405,760,210
   Gateshead,405,760,210
   Newcastle upon Tyne,405,760,210
   North Tyneside,405,760,210
   South Tyneside,405,760,210
   Sunderland,405,760,210
North West,1445,"2,765",785
Blackburn with Darwen,1445,"2,765",785
Blackpool,1445,"2,765",785
Cheshire East,1445,"2,765",785
Cheshire West and Chester,1445,"2,765",785
Halton,1445,"2,765",785
Warrington,1445,"2,765",785
Cumbria,1445,"2,765",785
Allerdale,1445,"2,765",785
Barrow-in-Furness,1445,"2,765",785
Carlisle,1445,"2,765",785
Copeland,1445,"2,765",785
Eden,1445,"2,765",785
South Lakeland,1445,"2,765",785
Greater Manchester (Met County),1445,"2,765",785
Bolton,1445,"2,765",785
Bury,1445,"2,765",785
Manchester,1445,"2,765",785
Oldham,1445,"2,765",785
Rochdale,1445,"2,765",785
Salford,1445,"2,765",785
Stockport,1445,"2,765",785
Tameside,1445,"2,765",785
Trafford,1445,"2,765",785
Wigan,1445,"2,765",785
Lancashire,1445,"2,765",785
Burnley,1445,"2,765",785
Chorley,1445,"2,765",785
Fylde,1445,"2,765",785
Hyndburn,1445,"2,765",785
Lancaster,1445,"2,765",785
Pendle,1445,"2,765",785
Preston,1445,"2,765",785
Ribble Valley,1445,"2,765",785
Rossendale,1445,"2,765",785
South Ribble,1445,"2,765",785
West Lancashire,1445,"2,765",785
Wyre,1445,"2,765",785
Merseyside (Met County),1445,"2,765",785
Knowsley,1445,"2,765",785
Liverpool,1445,"2,765",785
Sefton,1445,"2,765",785
St. Helens,1445,"2,765",785
Wirral,1445,"2,765",785
Yorkshire and The Humber,"1,025","2,040",545
East Riding of Yorkshire,"1,025","2,040",545
Kingston upon Hull City of,"1,025","2,040",545
North East Lincolnshire,"1,025","2,040",545
North Lincolnshire,"1,025","2,040",545
York,"1,025","2,040",545
North Yorkshire,"1,025","2,040",545
Craven,"1,025","2,040",545
Hambleton,"1,025","2,040",545
Harrogate,"1,025","2,040",545
Richmondshire,"1,025","2,040",545
Ryedale,"1,025","2,040",545
Scarborough,"1,025","2,040",545
Selby,"1,025","2,040",545
South Yorkshire (Met County),"1,025","2,040",545
Barnsley,"1,025","2,040",545
Doncaster,"1,025","2,040",545
Rotherham,"1,025","2,040",545
Sheffield,"1,025","2,040",545
West Yorkshire (Met County),"1,025","2,040",545
Bradford,"1,025","2,040",545
Calderdale,"1,025","2,040",545
Kirklees,"1,025","2,040",545
Leeds,"1,025","2,040",545
Wakefield,"1,025","2,040",545
East Midlands,915,"1,755",475
Derby,915,"1,755",475
Leicester,915,"1,755",475
Nottingham,915,"1,755",475
Rutland,915,"1,755",475
Derbyshire,915,"1,755",475
Amber Valley,915,"1,755",475
Bolsover,915,"1,755",475
Chesterfield,915,"1,755",475
