Quarter,Agriculture,Manufacturing,Mining,Public Administration,Construction,Services,Transport
01/03/1990,2171,32138,12978,20840,34620,208610,11887
01/06/1990,2191,32337,13619,20840,34233,208786,11809
01/09/1990,2213,31988,12327,20794,33546,207762,11704
01/12/1990,2224,31538,12425,20963,33296,208056,11670
01/03/1991,2295,30938,12992,21352,31819,208244,11382
01/06/1991,2322,30338,12908,21465,31763,208662,11481
01/09/1991,2306,30038,13773,21620,31522,209495,11531
01/12/1991,2304,30238,14010,21493,31095,209323,11616
01/03/1992,2402,30338,13759,21587,30361,209305,11718
01/06/1992,2378,30338,13229,21439,30159,209833,11747
01/09/1992,2368,30438,13782,21365,30004,211078,11798
01/12/1992,2304,30338,14470,21293,29486,212905,12059
01/03/1993,2195,30838,13805,21301,29529,214906,11997
01/06/1993,2124,30738,13982,21110,29064,216697,12078
01/09/1993,2136,30738,15069,20794,28969,218493,12265
01/12/1993,2117,30888,16087,20488,28878,219339,12320
01/03/1994,2059,31538,16478,20826,28609,222410,12471
01/06/1994,2063,32088,17189,20456,28690,224261,12894
01/09/1994,2104,32437,17068,20206,28581,226469,13026
01/12/1994,2136,32937,17059,20014,28562,227782,13221
01/03/1995,2018,32437,17672,20063,28223,229888,13318
01/06/1995,1997,32737,17319,19867,28461,229754,13537
01/09/1995,2028,32837,17366,19779,28525,231962,13918
01/12/1995,2043,32937,17719,19621,28615,231547,13913
01/03/1996,1985,32987,18086,19557,28615,234422,14102
01/06/1996,1860,32737,17993,19463,28736,236347,14260
01/09/1996,1929,32937,18040,19402,29180,237931,14452
01/12/1996,1959,33287,18193,19189,29016,238636,14736
01/03/1997,1860,33537,18300,18751,28386,240747,15036
01/06/1997,1924,33406,19145,18786,28928,242943,15392
01/09/1997,1975,33562,21371,18731,28625,244125,15705
01/12/1997,2025,34019,24557,18708,29418,245690,16551
01/03/1998,1996,34448,26337,18836,30144,246339,16606
01/06/1998,2161,34610,22434,18889,29584,249025,16931
01/09/1998,2319,34840,17120,19164,29931,251477,17201
01/12/1998,2465,35027,14554,19274,30747,253859,17524
01/03/1999,2995,35455,14767,19349,31424,253896,17841
01/06/1999,2315,35901,21956,19343,31829,253257,18094
01/09/1999,2217,37038,23886,19338,32542,256184,18255
01/12/1999,2597,37372,19445,19215,32476,261047,18029
01/03/2000,3032,37613,14076,19101,32782,264814,18594
01/06/2000,2307,37836,17747,18842,32196,267312,18199
01/09/2000,2437,37979,19942,18889,31317,268434,18733
01/12/2000,3268,38646,21373,19098,31832,266936,18448
01/03/2001,5528,38923,10338,19576,31687,270263,18158
01/06/2001,3086,38575,15464,19715,32313,272179,18383
01/09/2001,1625,38958,19543,19834,31998,273339,18509
01/12/2001,965,38875,23256,19902,32296,274041,17654
01/03/2002,1281,39781,26147,19751,32193,273928,17200
01/06/2002,3193,40009,19284,19757,31939,276308,17029
01/09/2002,4280,40998,12772,19495,32573,277959,17189
01/12/2002,5172,40927,7764,19471,32578,281551,17075
01/03/2003,4000,41272,10181,19198,31337,284146,17502
01/06/2003,2916,41373,15309,19144,31601,285771,17747
01/09/2003,2721,41628,18848,19267,31773,288274,17810
01/12/2003,3720,41841,17232,19475,31924,290876,17820
01/03/2004,5200,42440,6839,19575,32239,294950,18218
01/06/2004,3164,42413,12626,19503,31220,296825,18192
01/09/2004,1809,41767,17981,19754,30890,298377,17983
01/12/2004,1768,42269,20777,20003,30754,298363,18444
01/03/2005,4531,42191,11780,20694,31403,301343,18358
01/06/2005,3911,42918,13204,21242,31505,305205,17976
01/09/2005,2850,43133,13155,21629,31043,310625,17984
01/12/2005,1931,43653,13915,21887,30961,316136,18541
01/03/2006,3015,44751,11887,21646,31128,317049,18479
01/06/2006,3642,45513,10263,21601,31197,316876,19178
01/09/2006,3586,45882,11292,21788,31166,316931,19058
01/12/2006,2739,46047,12143,21835,31628,318103,18953
01/03/2007,1735,45762,12208,21926,31910,321898,18897
01/06/2007,2717,45709,11047,21838,31593,325294,19087
01/09/2007,3259,45537,9314,21812,30878,329677,19400
01/12/2007,3503,45799,9173,21718,30923,332705,19605
01/03/2008,4083,46532,8645,21948,30887,334023,20111
01/06/2008,3635,46250,8326,21822,30252,332674,20437
01/09/2008,3447,45730,9353,21679,29198,327069,19689
01/12/2008,2867,43791,11157,21756,27356,322192,18595
